"비경취업희망여부","비경취업가능성여부","기타활동사항_4주내비구직사유코드","기타활동사항_지난1년내구직활동유무","조사년월","연령5세단위코드","가중값","경제활동상태코드"
1,1,02,1,202008,03,0001396548,3
1,1,02,1,202008,03,0001396548,3
1,1,02,1,202008,03,0001711556,3
1,1,02,1,202008,03,0001711556,3
1,1,02,1,202008,03,0001711556,3
1,1,02,1,202008,03,0001750904,3
1,1,02,1,202008,03,0001750904,3
1,1,02,1,202008,03,0001750904,3
1,1,02,1,202008,03,0001761257,3
1,1,02,1,202008,03,0001761257,3
1,1,02,1,202008,03,0002072859,3
1,1,02,1,202008,04,0000404847,3
1,1,02,1,202008,04,0000513899,3
1,1,02,1,202008,04,0000536183,3
1,1,02,1,202008,04,0000565967,3
1,1,02,1,202008,04,0000601435,3
1,1,02,1,202008,04,0000625102,3
1,1,02,1,202008,04,0000634332,3
1,1,02,1,202008,04,0000653085,3
1,1,02,1,202008,04,0000679400,3
1,1,02,1,202008,04,0000679400,3
1,1,02,1,202008,04,0000691195,3
1,1,02,1,202008,04,0000791848,3
1,1,02,1,202008,04,0000828008,3
1,1,02,1,202008,04,0000895936,3
1,1,02,1,202008,04,0001037537,3
1,1,02,1,202008,04,0001037537,3
1,1,02,1,202008,04,0001451937,3
1,1,02,1,202008,04,0001451937,3
1,1,02,1,202008,04,0001451937,3
1,1,02,1,202008,04,0001476141,3
1,1,02,1,202008,04,0001479896,3
1,1,02,1,202008,04,0001532290,3
1,1,02,1,202008,04,0001571517,3
1,1,02,1,202008,04,0001615933,3
1,1,02,1,202008,05,0000390175,3
1,1,02,1,202008,05,0000524574,3
1,1,02,1,202008,05,0000577949,3
1,1,02,1,202008,05,0000797927,3
1,1,02,1,202008,05,0001022540,3
1,1,02,1,202008,05,0001022540,3
1,1,02,1,202008,05,0001236915,3
1,1,02,1,202008,05,0001374723,3
1,1,02,1,202008,05,0001374723,3
1,1,02,1,202008,05,0001459662,3
1,1,02,1,202008,05,0001605238,3
1,1,02,1,202008,05,0001719333,3
1,1,02,1,202008,05,0001782255,3
1,1,02,1,202008,05,0001797014,3
1,1,02,1,202008,06,0000387581,3
1,1,02,1,202008,06,0000485146,3
1,1,02,1,202008,06,0000485146,3
1,1,02,1,202008,06,0000510567,3
1,1,02,1,202008,06,0000604815,3
1,1,02,1,202008,06,0000610992,3
1,1,02,1,202008,06,0000612975,3
1,1,02,1,202008,06,0000668264,3
1,1,02,1,202008,06,0000668992,3
1,1,02,1,202008,06,0000716344,3
1,1,02,1,202008,06,0000764128,3
1,1,02,1,202008,06,0001116370,3
1,1,02,1,202008,06,0001961235,3
1,1,02,1,202008,07,0000385130,3
1,1,02,1,202008,07,0000386497,3
1,1,02,1,202008,07,0000513595,3
1,1,02,1,202008,07,0000550652,3
1,1,02,1,202008,07,0000576011,3
1,1,02,1,202008,07,0000652515,3
1,1,02,1,202008,07,0000688612,3
1,1,02,1,202008,07,0001151180,3
1,1,02,1,202008,07,0001151180,3
1,1,02,1,202008,07,0001576924,3
1,1,02,1,202008,07,0001576924,3
1,1,02,1,202008,07,0001576924,3
1,1,02,1,202008,08,0000155437,3
1,1,02,1,202008,08,0000386407,3
1,1,02,1,202008,08,0000438717,3
1,1,02,1,202008,08,0000553535,3
1,1,02,1,202008,08,0000786942,3
1,1,02,1,202008,08,0000865382,3
1,1,02,1,202008,08,0000865382,3
1,1,02,1,202008,08,0000975340,3
1,1,02,1,202008,08,0001091269,3
1,1,02,1,202008,08,0001283452,3
1,1,02,1,202008,08,0001484686,3
1,1,02,1,202008,08,0001502228,3
1,1,02,1,202008,09,0000259073,3
1,1,02,1,202008,09,0000339302,3
1,1,02,1,202008,09,0000345134,3
1,1,02,1,202008,09,0000351994,3
1,1,02,1,202008,09,0000404467,3
1,1,02,1,202008,09,0000404467,3
1,1,02,1,202008,09,0000444466,3
1,1,02,1,202008,09,0000484244,3
1,1,02,1,202008,09,0000524578,3
1,1,02,1,202008,09,0000738765,3
1,1,02,1,202008,09,0000783301,3
1,1,02,1,202008,09,0000783301,3
1,1,02,1,202008,09,0000857418,3
1,1,02,1,202008,09,0001268727,3
1,1,02,1,202008,09,0001268727,3
1,1,02,1,202008,10,0000098982,3
1,1,02,1,202008,10,0000332383,3
1,1,02,1,202008,10,0000351715,3
1,1,02,1,202008,10,0000358696,3
1,1,02,1,202008,10,0000405699,3
1,1,02,1,202008,10,0000505876,3
1,1,02,1,202008,10,0000562105,3
1,1,02,1,202008,10,0000666323,3
1,1,02,1,202008,10,0000786794,3
1,1,02,1,202008,10,0000888470,3
1,1,02,1,202008,10,0000888470,3
1,1,02,1,202008,10,0001270028,3
1,1,02,1,202008,10,0001345357,3
1,1,02,1,202008,10,0001404342,3
1,1,02,1,202008,11,0000192196,3
1,1,02,1,202008,11,0000285158,3
1,1,02,1,202008,11,0000331551,3
1,1,02,1,202008,11,0000335070,3
1,1,02,1,202008,11,0000339096,3
1,1,02,1,202008,11,0000462323,3
1,1,02,1,202008,11,0000462323,3
1,1,02,1,202008,11,0000576421,3
1,1,02,1,202008,11,0000603193,3
1,1,02,1,202008,11,0001002185,3
1,1,02,1,202008,11,0001002185,3
1,1,03,1,202008,01,0000413996,3
1,1,03,1,202008,01,0000625699,3
1,1,03,1,202008,01,0001081848,3
1,1,03,1,202008,02,0000340750,3
1,1,03,1,202008,02,0000463509,3
1,1,03,1,202008,02,0000496267,3
1,1,03,1,202008,02,0000632599,3
1,1,03,1,202008,02,0000632599,3
1,1,03,1,202008,02,0000741126,3
1,1,03,1,202008,02,0000915289,3
1,1,03,1,202008,02,0001031482,3
1,1,03,1,202008,02,0001031482,3
1,1,03,1,202008,02,0001428784,3
1,1,03,1,202008,03,0000465990,3
1,1,03,1,202008,03,0000508063,3
1,1,03,1,202008,03,0000778600,3
1,1,03,1,202008,03,0000808769,3
1,1,03,1,202008,03,0000964477,3
1,1,03,1,202008,03,0000965449,3
1,1,03,1,202008,03,0001296824,3
1,1,03,1,202008,03,0001930933,3
1,1,03,1,202008,04,0000817318,3
1,1,03,1,202008,05,0000329833,3
1,1,03,1,202008,05,0000441373,3
1,1,03,1,202008,05,0000519767,3
1,1,03,1,202008,05,0001234732,3
1,1,03,1,202008,05,0001236915,3
1,1,03,1,202008,05,0001719333,3
1,1,03,1,202008,05,0001797014,3
1,1,03,1,202008,05,0001797014,3
1,1,03,1,202008,05,0001797014,3
1,1,03,1,202008,06,0000357638,3
1,1,03,1,202008,06,0000387581,3
1,1,03,1,202008,06,0000463589,3
1,1,03,1,202008,06,0000661736,3
1,1,03,1,202008,06,0000778145,3
